nTime,nTair,nupStreamTemp,nDownStreamTemp,nInflow,nOutFlow,nDischarge,ndsWV,ndepthH,nWz,nRH,nlowCloud,nhighCloud,ndamElevation,ndamStorage,nRain,nwindDirection
03-Sep-2021 19:00:00,23.2338333333333,20.2,20.4,2632.04999999167,3171.486818304,2868.50000001161,0.34747200000139,23.1373680000925,0,30.6988333333333,0.025,0,48.4799999665939,370907988.550533,0,0
03-Sep-2021 19:15:00,24.2063333333333,20.2,20.4,2631.60749999177,2817.526235904,2868.50000001161,0.307848000001231,23.1404160000926,0,29.0463333333333,0.025,0,48.4804166345439,370812393.707815,0,0
03-Sep-2021 19:30:00,25.1788333333333,20.2,20.4,2631.16499999187,2944.952045568,2868.50000001161,0.323088000001292,23.1434640000926,0,27.3938333333333,0.025,0,48.4808333024939,370716798.865097,0,0
03-Sep-2021 19:45:00,26.1513333333333,20.2,20.4,2630.72249999196,2758.0608580608,2868.50000001161,0.301752000001207,23.1434640000926,0,25.7413333333333,0.025,0,48.4812499704439,370621204.022378,0,0
03-Sep-2021 20:00:00,27.0585,20.2,20.4,2630.27999999206,2712.7539035136,2868.50000001161,0.295656000001183,23.1404160000926,0.419845066666667,24.083,0.025,0,48.4816666383939,370525609.17966,0,7
03-Sep-2021 20:15:00,27.891,20.2,20.4,2629.83749999216,2769.3875966976,2864.25250000876,0.303223448277075,23.1404160000926,1.31951306666667,22.418,0.025,0,48.4820833063439,370525609.17966,0,22
03-Sep-2021 20:30:00,28.7235,20.2,20.4,2629.39499999226,2783.5460199936,2860.00500000592,0.304800000001219,23.1434640000926,2.21918106666667,20.753,0.025,0,48.4824999742939,370525609.17966,0,37
03-Sep-2021 20:45:00,29.556,20.2,20.4,2628.95249999235,2780.7143353344,2855.75750000307,0.304800000001219,23.1556560000926,3.11884906666667,19.088,0.025,0,48.4829166422439,370525609.17966,0,52
03-Sep-2021 21:00:00,30.0653333333333,20.2,20.4,2628.50999999245,2800.5361279488,2851.51000000023,0.304800000001219,23.1678480000927,3.598672,18.0565,0.025,0,48.4833333101939,370525609.17966,0,60
03-Sep-2021 21:15:00,30.2053333333333,20.225,20.4,2628.06749999255,2794.8727586304,2846.55250000085,0.304800000001219,23.1739440000927,3.598672,17.749,0.025,0,48.4837499781439,370590366.977365,0,60
03-Sep-2021 21:30:00,30.3453333333333,20.25,20.4,2627.62499999264,2707.0905341952,2841.59500000146,0.295656000001183,23.1800400000927,3.598672,17.4415,0.025,0,48.4841666460939,370655124.775069,0,60
03-Sep-2021 21:45:00,30.4853333333333,20.275,20.4,2627.18249999274,2695.7637955584,2836.63750000208,0.295656000001183,23.1739440000927,3.598672,17.134,0.025,0,48.4845833140439,370719882.572774,0,60
03-Sep-2021 22:00:00,30.6895,20.3,20.4,2626.73999999284,2675.942002944,2831.6800000027,0.29260800000117,23.1739440000927,3.35876053333333,16.7763333333333,0.025,0,48.4849999819939,370784640.370479,0,56.5
03-Sep-2021 22:15:00,30.967,20.3,20.4,2626.29749999293,2709.9222188544,2837.34500000334,0.295656000001183,23.1922320000928,2.84466453333333,16.3613333333333,0.025,0,48.4854166499439,371096094.532918,0,49
03-Sep-2021 22:30:00,31.2445,20.3,20.4,2625.85499999303,2758.0608580608,2843.01000000399,0.301752000001207,23.1861360000927,2.33056853333333,15.9463333333333,0.025,0,48.4858333178939,371407548.695357,0,41.5
03-Sep-2021 22:45:00,31.522,20.3,20.4,2625.41249999313,2763.7242273792,2848.67500000463,0.301752000001207,23.1830880000927,1.81647253333333,15.5313333333333,0.025,0,48.4862499858439,371719002.857796,0,34
03-Sep-2021 23:00:00,31.4751666666667,20.3,20.4,2624.96999999323,2707.0905341952,2854.34000000527,0.295656000001183,23.2013760000928,1.84217733333333,15.6471666666667,0.025,0,48.4866666537939,372030457.020234,0,65
03-Sep-2021 23:15:00,31.0576666666667,20.3,20.4,2624.52749999332,2769.3875966976,2857.88000000686,0.301752000001207,23.2074720000928,2.48479733333333,16.3696666666667,0.025,0,48.4870833217439,371518562.057652,0,140
03-Sep-2021 23:30:00,30.6401666666667,20.3,20.4,2624.08499999342,2687.2687415808,2861.42000000844,0.29260800000117,23.2074720000928,3.12741733333333,17.0921666666667,0.025,0,48.4874999896939,371006667.09507,0,215
03-Sep-2021 23:45:00,30.2226666666667,20.3,20.4,2623.64249999352,2743.9024347648,2864.96000001003,0.298704000001195,23.2166160000929,3.77003733333333,17.8146666666667,0.025,0,48.4879166576439,370494772.132488,0,290
04-Sep-2021 00:00:00,29.9346666666667,20.3,20.4,2623.19999999361,2831.6846592,2868.50000001161,0.310896000001244,23.2257600000929,4.05279013333333,18.5593333333333,0.025,0,48.4883333255939,369982877.169906,0,328.833333333333
04-Sep-2021 00:15:00,29.7946666666667,20.325,20.4,2622.75749999371,2786.3777046528,2869.20750000579,0.304800000001219,23.2257600000929,3.92426613333333,19.3293333333333,0.025,0,48.488749993544,369982877.169906,0,326.333333333333
04-Sep-2021 00:30:00,29.6546666666667,20.35,20.4,2622.31499999381,2828.8529745408,2869.91499999997,0.307848000001231,23.2379520000929,3.79574213333333,20.0993333333333,0.025,0,48.489166661494,369982877.169906,0,323.833333333333
04-Sep-2021 00:45:00,29.5146666666667,20.375,20.4,2621.8724999939,3058.219431936,2870.62249999416,0.335280000001341,23.2349040000929,3.66721813333333,20.8693333333333,0.025,0,48.489583329444,369982877.169906,0,321.333333333333
04-Sep-2021 01:00:00,29.2463333333333,20.4,20.4,2621.429999994,2973.26889216,2871.32999998834,0.323088000001292,23.2379520000929,3.65864986666667,21.742,0.0395833333333333,0,48.489999997394,369982877.169906,0,318.833333333333
04-Sep-2021 01:15:00,28.8313333333333,20.4,20.4,2620.9874999941,2831.6846592,2871.32999998834,0.307848000001231,23.247096000093,3.78717386666667,22.732,0.0708333333333333,0,48.490416665344,370118560.172344,0,316.333333333333
04-Sep-2021 01:30:00,28.4163333333333,20.4,20.4,2620.5449999942,2916.635198976,2871.32999998834,0.316992000001268,23.253192000093,3.91569786666667,23.722,0.102083333333333,0,48.490833333294,370254243.174783,0,313.833333333333
04-Sep-2021 01:45:00,28.0013333333333,20.4,20.4,2620.10249999429,2973.26889216,2871.32999998834,0.323088000001292,23.247096000093,4.04422186666667,24.712,0.133333333333333,0,48.491250001244,370389926.177221,0,311.333333333333
04-Sep-2021 02:00:00,27.6505,20.4,20.4,2619.65999999439,2746.734119424,2871.32999998834,0.298704000001195,23.2806240000931,4.17274586666667,25.8081666666667,0.17625,0,48.491666669194,370525609.17966,0,310
04-Sep-2021 02:15:00,27.373,20.4,20.4,2619.21749999449,2752.3974887424,2875.57749999118,0.298704000001195,23.250144000093,4.30126986666667,27.0256666666667,0.2325,0,48.492083337144,370389926.177221,0,310
04-Sep-2021 02:30:00,27.0955,20.4,20.4,2618.77499999458,2698.5954802176,2879.82499999403,0.295656000001183,23.250144000093,4.42979386666667,28.2431666666667,0.28875,0,48.492500005094,370254243.174783,0,310
04-Sep-2021 02:45:00,26.818,20.4,20.4,2618.33249999468,2944.952045568,2884.07249999687,0.32004000000128,23.253192000093,4.55831786666667,29.4606666666667,0.345,0,48.492916673044,370118560.172344,0,310
04-Sep-2021 03:00:00,26.4751666666667,20.4,20.4,2617.88999999478,3001.585738752,2888.31999999972,0.326136000001305,23.259288000093,4.626864,30.4868333333333,0.334166666666667,0,48.493333340994,369982877.169906,0,312.333333333333
04-Sep-2021 03:15:00,26.0576666666667,20.4,20.4,2617.44749999487,3058.219431936,2826.7300000033,0.335280000001341,23.247096000093,4.626864,31.2943333333333,0.246666666666667,0,48.493750008944,370152480.922568,0,317.333333333333
04-Sep-2021 03:30:00,25.6401666666667,20.4,20.4,2617.00499999497,2973.26889216,2765.14000000688,0.326136000001305,23.2379520000929,4.626864,32.1018333333333,0.159166666666667,0,48.494166676894,370322084.675231,0,322.333333333333
04-Sep-2021 03:45:00,25.2226666666667,20.4,20.4,2616.56249999507,2772.2192813568,2703.55000001046,0.301752000001207,23.241000000093,4.626864,32.9093333333333,0.0716666666666667,0,48.494583344844,370491688.427894,0,327.333333333333
04-Sep-2021 04:00:00,24.8705,20.4,20.4,2616.11999999517,2888.318352384,2641.96000001405,0.313944000001256,23.244048000093,4.68684186666667,33.9338333333333,0.025,0,48.495000012794,370661292.180557,0,328.833333333333
04-Sep-2021 04:15:00,24.593,20.4,20.4,2615.67749999526,2820.3579205632,2637.00500000994,0.307848000001231,23.250144000093,4.81536586666667,35.2063333333333,0.025,0,48.495416680744,370356005.425455,0,326.333333333333
04-Sep-2021 04:30:00,24.3155,20.4,20.4,2615.23499999536,2860.001505792,2632.05000000583,0.313944000001256,23.250144000093,4.94388986666667,36.4788333333333,0.025,0,48.495833348694,370050718.670354,0,323.833333333333
04-Sep-2021 04:45:00,24.038,20.4,20.4,2614.79249999546,3256.43735808,2627.09500000173,0.353568000001414,23.247096000093,5.07241386666667,37.7513333333333,0.025,0,48.496250016644,369745431.915253,0,321.333333333333
